time,consensus
2019-06-18,0.15
2019-06-23,0.09
2019-06-28,0.15
2019-07-03,0.2
2019-07-08,0.13
2019-07-13,0.08
2019-07-18,0.07
2019-07-23,0.12
2019-07-28,0.17
2019-08-02,0.27
2019-08-07,0.4
2019-08-12,0.46
2019-08-17,0.43
2019-08-22,0.37
2019-08-27,0.31
2019-09-01,0.32
2019-09-06,0.34
2019-09-11,0.34
2019-09-16,0.24
2019-09-21,0.4
2019-09-26,0.57
2019-10-01,0.63
2019-10-06,0.67
2019-10-11,0.65
2019-10-16,0.66
2019-10-21,0.56
2019-10-26,0.68
2019-10-31,0.66
2019-11-05,0.64
2019-11-10,0.65
2019-11-15,0.61
2019-11-20,0.38
2019-11-25,0.27
2019-11-30,0.21
2019-12-05,0.25
2019-12-10,0.32
2019-12-15,0.25
2019-12-20,0.25
2019-12-25,0.25
2019-12-30,0.26
2020-01-04,0.24
2020-01-09,0.21
2020-01-14,0.23
2020-01-19,0.16
2020-01-24,0.1
2020-01-29,0.17
2020-02-03,0.13
2020-02-08,0.09
2020-02-13,0.12
2020-02-18,0.11
2020-02-23,0.08
2020-02-28,0.17
2020-03-04,0.13
2020-03-09,0.1
2020-03-14,0.11
2020-03-19,0.11
2020-03-24,0.16
2020-03-29,0.13
2020-04-03,0.07
2020-04-08,0.1
2020-04-13,0.14
2020-04-18,0.2
2020-04-23,0.35
2020-04-28,0.35
2020-05-03,0.34
2020-05-08,0.33
2020-05-13,0.35
2020-05-18,0.24
2020-05-23,0.16
2020-05-28,0.16
2020-06-02,0.14
2020-06-07,0.14
2020-06-12,0.14
2020-06-17,0.18
2020-06-22,0.15
2020-06-27,0.09
2020-07-02,0.1
2020-07-07,0.1
2020-07-12,0.11
2020-07-17,0.11
2020-07-22,0.11
2020-07-27,0.17
2020-08-01,0.23
2020-08-06,0.56
2020-08-11,0.76
2020-08-16,0.83
2020-08-21,0.81
2020-08-26,0.8
2020-08-31,0.8
2020-09-05,0.83
2020-09-10,0.8
2020-09-15,0.78
2020-09-20,0.67
2020-09-25,0.56
2020-09-30,0.64
2020-10-05,0.66
2020-10-10,0.49
2020-10-15,0.59
2020-10-20,0.31
2020-10-25,0.22
2020-10-30,0.23
2020-11-04,0.26
2020-11-09,0.25
2020-11-14,0.34
2020-11-19,0.44
2020-11-24,0.27
2020-11-29,0.2
2020-12-04,0.16
2020-12-09,0.21
2020-12-14,0.22
2020-12-19,0.19
2020-12-24,0.18
2020-12-29,0.09
2021-01-03,0.12
2021-01-08,0.05
2021-01-13,0.03
2021-01-18,0.09
2021-01-23,0.11
2021-01-28,0.44
2021-02-02,0.41
2021-02-07,0.43
2021-02-12,0.39
2021-02-17,0.61
2021-02-22,0.51
2021-02-27,0.43
2021-03-04,0.42
2021-03-09,0.33
2021-03-14,0.29
2021-03-19,0.14
2021-03-24,0.18
2021-03-29,0.11
2021-04-03,0.16
2021-04-08,0.22
2021-04-13,0.24
2021-04-18,0.07
2021-04-23,0.07
2021-04-28,0.14
2021-05-03,0.07
2021-05-08,0.1
2021-05-13,0.07
2021-05-18,0.16
2021-05-23,0.13
2021-05-28,0.07
2021-06-02,0.07
2021-06-07,0.13
2021-06-12,0.26
2021-06-17,0.41
2021-06-22,0.35
2021-06-27,0.44
2021-07-02,0.46
2021-07-07,0.55
2021-07-12,0.58
2021-07-17,0.51
2021-07-22,0.47
2021-07-27,0.38
2021-08-01,0.43
2021-08-06,0.29
2021-08-11,0.33
2021-08-16,0.34
2021-08-21,0.34
2021-08-26,0.32
2021-08-31,0.46
2021-09-05,0.43
2021-09-10,0.56
2021-09-15,0.99
2021-09-20,1.0
2021-09-25,1.0
2021-09-30,1.0
2021-10-05,1.0
2021-10-10,0.96
2021-10-15,0.82
2021-10-20,0.74
2021-10-25,0.83
2021-10-30,0.75
2021-11-04,0.8
2021-11-09,0.65
2021-11-14,0.61
2021-11-19,0.47
2021-11-24,0.33
2021-11-29,0.25
2021-12-04,0.29
2021-12-09,0.35
2021-12-14,0.34
2021-12-19,0.3
2021-12-24,0.33
2021-12-29,0.15
2022-01-03,0.14
2022-01-08,0.19
2022-01-13,0.1
2022-01-18,0.16
2022-01-23,0.32
2022-01-28,0.37
2022-02-02,0.55
2022-02-07,0.52
2022-02-12,0.52
2022-02-17,0.39
2022-02-22,0.14
2022-02-27,0.16
2022-03-04,0.12
2022-03-09,0.07
2022-03-14,0.1
2022-03-19,0.1
2022-03-24,0.09
2022-03-29,0.09
2022-04-03,0.12
2022-04-08,0.12
2022-04-13,0.08
2022-04-18,0.14
2022-04-23,0.14
2022-04-28,0.16
2022-05-03,0.04
2022-05-08,0.11
2022-05-13,0.09
2022-05-18,0.09
2022-05-23,0.08
2022-05-28,0.06
2022-06-02,0.06
2022-06-07,0.12
2022-06-12,0.08
2022-06-17,0.1
2022-06-22,0.06
2022-06-27,0.09
2022-07-02,0.08
2022-07-07,0.15
2022-07-12,0.22
2022-07-17,0.48
2022-07-22,0.45
2022-07-27,0.44
2022-08-01,0.39
2022-08-06,0.44
2022-08-11,0.45
2022-08-16,0.53
2022-08-21,0.53
2022-08-26,0.49
2022-08-31,0.57
2022-09-05,0.61
2022-09-10,0.55
2022-09-15,0.68
2022-09-20,0.68
2022-09-25,0.38
2022-09-30,0.28
2022-10-05,0.37
2022-10-10,0.3
2022-10-15,0.28
2022-10-20,0.35
2022-10-25,0.47
2022-10-30,0.44
2022-11-04,0.56
2022-11-09,0.53
2022-11-14,0.45
2022-11-19,0.53
2022-11-24,0.49
2022-11-29,0.58
2022-12-04,0.47
2022-12-09,0.27
2022-12-14,0.23
2022-12-19,0.2
2022-12-24,0.13
